Genotype_AD,Genotype_FTD,Tissue,Cell,Lab,CE 14:0,CE 16:0,CE 18:0,CE 18:1,CE 18:3,CE 20:1,CE 20:2,CE 20:3,CE 20:4,CE 22:2,CE 22:4,CE 22:5,CE 22:6,Cer d18:0/16:0,Cer d18:0/18:0,Cer d18:0/18:1,Cer d18:0/20:0,Cer d18:0/24:1,Cer d18:0/26:1,Cer d18:1/14:0,Cer d18:1/16:0,Cer d18:1/18:0,Cer d18:1/18:1,Cer d18:1/20:0,Cer d18:1/20:1,Cer d18:1/22:0,Cer d18:1/22:1,Cer d18:1/24:0,Cer d18:1/24:1,DG 14:0_14:0,DG 14:0_16:0,DG 14:0_16:1,DG 14:0_18:1,DG 14:0_18:2,DG 14:1_16:0,DG 14:1_18:1,DG 16:0_16:0,DG 16:0_16:1,DG 16:0_18:0,DG 16:0_18:1,DG 16:0_18:2,DG 16:0_20:3,DG 16:0_20:4,DG 16:0_22:5,DG 16:0_22:6,DG 16:1_16:1,DG 16:1_18:0,DG 16:1_18:1,DG 16:1_18:2,DG 16:1_20:0,DG 16:1_20:2,DG 16:1_20:4,DG 18:0_18:1,DG 18:0_18:2,DG 18:0_18:3,DG 18:0_22:6,DG 18:1_18:1,DG 18:1_18:2,DG 18:1_20:1,DG 18:1_20:2,DG 18:1_20:3,DG 18:1_20:4,DG 18:1_22:4,DG 18:1_22:5,DG 18:1_22:6,DG 18:2_20:3,FA 12:0,FA 14:0,FA 14:1,FA 16:1,FA 18:0,FA 18:1,FA 18:2,FA 18:3,FA 18:4,FA 20:0,FA 20:1,FA 20:2,FA 20:3,FA 20:4,FA 20:5,FA 22:0,FA 22:1,FA 22:2,FA 22:4,FA 22:5,FA 22:6,FA 24:0,FA 24:1,HexCER d18:1/14:0,HexCER d18:1/16:0,HexCER d18:1/18:0,HexCER d18:1/18:1,HexCER d18:1/20:0,HexCER d18:1/22:0,HexCER d18:1/22:1,HexCER d18:1/24:0,HexCER d18:1/24:1,LacCER d18:1/16:0,LPC 16:0,LPC 18:0,LPC 18:1,LPE 16:0,LPE 18:0,LPE 18:1,LPE 20:3,PA 32:0,PA 32:1,PA 34:0,PA 34:1,PA 34:2,PA 36:1,PA 36:2,PA 36:3,PA 36:4,PA 38:2,PA 38:3,PA 38:4,PA 40:3,PA 40:4,PA 40:5,PA 40:6,PC 14:0_14:0,PC 14:0_16:0,PC 14:0_16:1,PC 14:0_18:0,PC 14:0_18:1,PC 16:0_16:0,PC 16:0_16:1,PC 16:0_18:0,PC 16:0_18:1,PC 16:0_18:2,PC 16:0_20:1,PC 16:0_20:2,PC 16:0_20:3,PC 16:0_20:4,PC 16:0_22:4,PC 16:1_18:0,PC 16:1_18:1,PC 16:1_18:2,PC 18:0_18:0,PC 18:0_18:1,PC 18:0_18:2,PC 18:0_20:1,PC 18:0_20:2,PC 18:0_20:3,PC 18:0_20:4,PC 18:1_18:1,PC 18:1_18:2,PC 18:1_20:0,PC 18:1_20:1,PC 18:1_20:2,PC 18:1_20:3,PC 18:1_20:4,PC 18:2_20:3,PE 14:0_18:1,PE 16:0_16:0,PE 16:0_16:1,PE 16:0_18:0,PE 16:0_18:1,PE 16:0_18:2,PE 16:0_20:1,PE 16:0_20:2,PE 16:0_20:4,PE 16:0_22:4,PE 16:1_18:0,PE 16:1_18:1,PE 18:0_18:0,PE 18:0_18:1,PE 18:0_18:2,PE 18:0_20:1,PE 18:0_20:2,PE 18:0_20:4,PE 18:0_22:2,PE 18:0_22:4,PE 18:1_18:1,PE 18:1_18:2,PE 18:1_20:1,PE 18:1_20:2,PE 18:1_20:4,PE 18:1_22:0,PE 18:1_22:2,PE 18:1_22:4,PE 18:2_18:2,PE 18:2_20:4,PE P-16:0/16:0,PE P-16:0/16:1,PE P-16:0/18:0,PE P-16:0/18:1,PE P-16:0/18:2,PE P-16:0/20:1,PE P-16:0/20:2,PE P-16:0/20:4,PE P-16:0/22:2,PE P-16:0/22:4,PE P-18:0/16:0,PE P-18:0/16:1,PE P-18:0/18:1,PE P-18:0/18:2,PE P-18:0/20:1,PE P-18:0/20:2,PE P-18:0/20:4,PE P-18:0/22:2,PE P-18:0/22:4,PE P-18:1/16:0,PE P-18:1/16:1,PE P-18:1/18:1,PE P-18:1/18:2,PE P-18:1/20:1,PE P-18:1/20:2,PE P-18:1/20:4,PE P-18:1/22:2,PE P-18:1/22:4,PE P-18:2/20:4,PG 16:0_16:0,PG 16:0_18:1,PG 16:1_18:1,PG 18:0_18:1,PG 18:0_20:3,PG 18:1_18:1,PG 18:1_20:3,PI 15:0_22:0,PI 16:0_18:0,PI 16:0_18:1,PI 16:0_20:3,PI 16:0_20:4,PI 16:1_18:1,PI 18:0_18:0,PI 18:0_18:1,PI 18:0_18:2,PI 18:0_18:3,PI 18:0_20:2,PI 18:0_20:3,PI 18:0_20:4,PI 18:1_18:1,PI 18:1_18:2,PI 18:1_20:2,PI 18:1_20:3,PI 18:1_20:4,PI 18:2_20:3,PS 16:0_16:0,PS 16:0_18:0,PS 16:0_18:1,PS 16:0_20:1,PS 16:0_20:2,PS 16:1_18:0,PS 16:1_18:1,PS 18:0_18:0,PS 18:0_18:1,PS 18:0_18:2,PS 18:0_20:1,PS 18:0_20:2,PS 18:0_20:3,PS 18:0_20:4,PS 18:0_22:4,PS 18:0_22:5,PS 18:1_18:1,PS 18:1_18:2,PS 18:1_20:1,PS 18:1_20:2,PS 18:1_20:3,SM d18:1/14:0,SM d18:1/16:0,SM d18:1/18:0,SM d18:1/18:1,SM d18:1/20:0,SM d18:1/20:1,SM d18:1/22:0,SM d18:1/22:1,SM d18:1/24:0,SM d18:1/24:1,SM d18:1/26:0,SM d18:1/26:1,TG 44:1-FA12:0,TG 46:0-FA16:0,TG 46:1-FA12:0,TG 46:1-FA14:1,TG 46:1-FA16:0,TG 46:1-FA18:1,TG 46:2-FA16:0,TG 47:1-FA16:1,TG 48:0-FA14:0,TG 48:0-FA16:0,TG 48:0-FA18:0,TG 48:1-FA14:0,TG 48:1-FA16:0,TG 48:1-FA16:1,TG 48:1-FA18:0,TG 48:1-FA18:1,TG 48:2-FA14:0,TG 48:2-FA14:1,TG 48:2-FA16:0,TG 48:2-FA16:1,TG 48:2-FA18:1,TG 48:2-FA18:2,TG 48:3-FA14:1,TG 48:3-FA18:1,TG 48:4-FA14:1,TG 49:1-FA16:0,TG 49:1-FA17:0,TG 49:2-FA16:0,TG 49:3-FA16:0,TG 50:0-FA16:0,TG 50:0-FA18:0,TG 50:1-FA14:0,TG 50:1-FA16:0,TG 50:1-FA16:1,TG 50:1-FA18:0,TG 50:1-FA18:1,TG 50:1-FA20:1,TG 50:2-FA14:0,TG 50:2-FA16:0,TG 50:2-FA16:1,TG 50:2-FA18:0,TG 50:2-FA18:1,TG 50:2-FA18:2,TG 50:2-FA20:2,TG 50:3-FA14:0,TG 50:3-FA14:1,TG 50:3-FA16:0,TG 50:3-FA16:1,TG 50:3-FA18:1,TG 50:3-FA18:2,TG 50:3-FA20:3,TG 50:4-FA16:1,TG 50:4-FA18:1,TG 50:4-FA18:2,TG 51:0-FA16:0,TG 51:1-FA16:0,TG 51:1-FA17:0,TG 51:1-FA18:0,TG 51:1-FA18:1,TG 51:2-FA16:1,TG 51:3-FA16:1,TG 51:4-FA16:1,TG 52:0-FA16:0,TG 52:0-FA18:0,TG 52:1-FA16:0,TG 52:1-FA16:1,TG 52:1-FA18:0,TG 52:1-FA18:1,TG 52:1-FA20:1,TG 52:2-FA14:0,TG 52:2-FA16:0,TG 52:2-FA16:1,TG 52:2-FA18:0,TG 52:2-FA18:1,TG 52:2-FA18:2,TG 52:2-FA20:1,TG 52:2-FA20:2,TG 52:3-FA14:0,TG 52:3-FA16:0,TG 52:3-FA16:1,TG 52:3-FA18:0,TG 52:3-FA18:1,TG 52:3-FA18:2,TG 52:3-FA20:1,TG 52:3-FA20:2,TG 52:3-FA20:3,TG 52:4-FA14:0,TG 52:4-FA16:0,TG 52:4-FA16:1,TG 52:4-FA18:1,TG 52:4-FA18:2,TG 52:4-FA18:3,TG 52:4-FA20:2,TG 52:4-FA20:3,TG 52:4-FA20:4,TG 52:5-FA16:1,TG 52:5-FA18:1,TG 52:5-FA18:2,TG 52:5-FA18:3,TG 52:5-FA20:3,TG 52:5-FA20:4,TG 53:1-FA16:0,TG 53:1-FA17:0,TG 53:1-FA18:0,TG 53:1-FA18:1,TG 53:2-FA16:0,TG 53:2-FA17:0,TG 53:3-FA16:0,TG 54:1-FA16:0,TG 54:1-FA18:0,TG 54:1-FA20:0,TG 54:1-FA20:1,TG 54:2-FA16:0,TG 54:2-FA18:0,TG 54:2-FA18:1,TG 54:2-FA18:2,TG 54:2-FA20:1,TG 54:2-FA20:2,TG 54:3-FA16:0,TG 54:3-FA16:1,TG 54:3-FA18:0,TG 54:3-FA18:1,TG 54:3-FA18:2,TG 54:3-FA20:1,TG 54:3-FA20:2,TG 54:3-FA20:3,TG 54:4-FA16:0,TG 54:4-FA16:1,TG 54:4-FA18:0,TG 54:4-FA18:1,TG 54:4-FA18:2,TG 54:4-FA20:1,TG 54:4-FA20:2,TG 54:4-FA20:3,TG 54:4-FA20:4,TG 54:4-FA22:4,TG 54:5-FA16:0,TG 54:5-FA16:1,TG 54:5-FA18:1,TG 54:5-FA18:2,TG 54:5-FA18:3,TG 54:5-FA20:2,TG 54:5-FA20:3,TG 54:5-FA20:4,TG 54:5-FA22:4,TG 54:6-FA16:1,TG 54:6-FA18:1,TG 54:6-FA18:3,TG 54:6-FA20:3,TG 54:6-FA20:4,TG 54:6-FA22:6,TG 54:7-FA22:6,TG 55:2-FA18:1,TG 55:3-FA18:1,TG 55:4-FA18:1,TG 55:7-FA15:0,TG 56:2-FA16:0,TG 56:2-FA18:0,TG 56:2-FA20:1,TG 56:3-FA16:0,TG 56:3-FA18:0,TG 56:3-FA18:1,TG 56:3-FA20:1,TG 56:3-FA20:2,TG 56:4-FA16:0,TG 56:4-FA18:0,TG 56:4-FA18:1,TG 56:4-FA18:2,TG 56:4-FA20:1,TG 56:4-FA20:2,TG 56:4-FA20:3,TG 56:4-FA22:4,TG 56:5-FA16:0,TG 56:5-FA18:0,TG 56:5-FA18:1,TG 56:5-FA18:2,TG 56:5-FA20:2,TG 56:5-FA20:3,TG 56:5-FA20:4,TG 56:5-FA22:4,TG 56:5-FA22:5,TG 56:6-FA16:0,TG 56:6-FA18:1,TG 56:6-FA18:2,TG 56:6-FA20:2,TG 56:6-FA20:3,TG 56:6-FA20:4,TG 56:6-FA22:4,TG 56:6-FA22:5,TG 56:6-FA22:6,TG 56:7-FA18:1,TG 56:7-FA20:3,TG 56:7-FA20:4,TG 56:7-FA22:5,TG 56:7-FA22:6,TG 56:8-FA18:1,TG 56:8-FA22:6,TG 57:2-FA18:1,TG 58:3-FA18:1,TG 58:5-FA18:1,TG 58:6-FA16:0,TG 58:6-FA18:1,TG 58:6-FA20:4,TG 58:6-FA22:4,TG 58:6-FA22:5,TG 58:7-FA18:1,TG 58:7-FA20:4,TG 58:7-FA22:4,TG 58:7-FA22:5,TG 58:7-FA22:6,TG 58:8-FA20:3,TG 58:8-FA20:4,TG 58:8-FA22:6,TG 58:9-FA22:5
WT,WT,iNeuron-I,iNeuron-I,Isaacs,0.094396401,0.222388081,NA,0.400472158,NA,0.064165402,0.053421578,0.100843641,0.052043447,NA,NA,NA,0.043026886,0.50781476,0.715616352,NA,NA,0.360809625,NA,0.230972105,4.611354355,7.922182195,0.261213754,0.432369404,0.110766758,0.326143133,0.338016666,0.140837161,2.657567154,0.066458649,0.292709273,0.069391411,0.160914121,NA,0.088499191,NA,0.705662065,0.457285512,0.627070246,1.778262434,0.273293507,0.415636409,0.118964934,0.067475413,0.045457438,0.081249638,0.194354129,0.350781182,NA,NA,0.077262287,NA,0.648663821,0.121758782,NA,0.100306487,0.424304388,0.13600435,0.109008858,0.145499881,0.656087116,0.201197444,0.056996799,0.042189313,0.039255862,NA,1.62566926,5.852613084,1.052086449,5.927307445,41.9218069,19.16695009,3.813539567,0.896118881,0.205988023,1.865082719,1.984023232,2.027065284,9.995075709,4.536884946,0.591398787,1.586151246,2.934805009,0.879572912,1.179597596,0.981974932,1.38355545,1.031026088,2.807816935,NA,0.137561055,0.828650248,NA,NA,NA,NA,0.101583504,0.177099452,NA,1.703632751,NA,NA,0.428562317,1.367446721,0.586244989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.58058663,6.939501838,NA,13.05605436,93.41106664,62.25264481,NA,212.89147,11.76687913,NA,8.406239913,NA,8.47276884,NA,8.651885147,29.29801766,NA,NA,20.13732209,NA,NA,NA,NA,NA,28.93743524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.753602174,1.007891858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.63359913,NA,1.385610717,NA,NA,9.007720583,NA,NA,NA,1.58874988,7.190275325,NA,NA,NA,NA,NA,7.101352987,NA,NA,NA,5.463448307,NA,NA,NA,2.545609012,NA,NA,NA,NA,0.119000306,3.028125849,7.287699852,0.40293787,0.600857527,NA,0.681782596,0.312166456,0.568546095,1.730808033,NA,0.236795636,NA,0.133011925,NA,NA,0.074903203,NA,NA,0.149929829,0.032828046,0.269451469,0.021079979,0.087809975,0.222077067,0.1458192,0.026001594,0.116156001,0.059818491,NA,0.066922286,0.186567622,0.06565313,NA,NA,NA,NA,0.121713429,0.053605614,0.069329789,NA,0.171816984,0.095186281,0.037763922,0.754712142,0.073470964,0.082864352,0.454373201,NA,0.069731634,0.355610455,0.405817572,NA,0.465390052,0.094938268,NA,NA,NA,0.052566171,0.194246556,0.116950359,0.072057551,NA,0.029486104,NA,NA,0.027152825,0.053530927,0.050655857,NA,0.040924588,0.066777572,0.054000388,NA,0.038789072,0.094927666,0.301195521,NA,0.331103943,0.326627439,0.074023787,NA,0.722102075,0.145151848,0.135767851,1.97827144,0.053512199,0.05463021,0.058758152,NA,0.24897745,0.324919342,NA,0.735386215,0.293575429,NA,0.059840335,0.055314013,NA,0.096207513,0.102128459,0.107338749,0.205242037,NA,NA,0.054431825,NA,NA,NA,0.025311778,NA,NA,NA,0.039577479,NA,0.033191162,0.009901911,0.069487546,NA,NA,0.043897055,0.091938624,NA,0.041892912,0.222956032,0.22637921,0.494142594,NA,0.272831922,0.074193954,0.208465842,0.120443548,0.079874082,1.178010289,0.05679414,0.102090378,0.235808648,0.057614092,0.102041622,0.109579637,0.035679569,0.353277267,0.218101428,NA,0.094237285,0.290835614,NA,NA,0.03107695,0.04936084,0.155740887,0.165039506,NA,NA,0.119192077,0.065918142,NA,NA,NA,0.045466174,NA,NA,0.037553027,NA,0.06780089,0.128584877,0.044582181,0.054901859,0.038442836,0.029965023,0.071075044,0.045481789,0.064515767,0.312841139,0.145501082,NA,0.099188405,0.038385244,0.256365987,0.042435491,0.054370589,0.104191992,0.100016284,NA,0.041470667,NA,0.125289054,0.035051129,NA,0.111574248,0.050357915,0.109835811,0.040351048,0.041891945,0.033967676,NA,NA,0.049082059,0.038723469,NA,0.071050393,0.027783214,NA,NA,NA,NA,0.107823469,NA,0.044851069,NA,0.053712345,0.063346154,NA,0.036950807,NA,0.048168803,NA,NA,NA,NA,0.033143068,NA,NA,NA,0.032229011,NA
WT,WT,iNeuron-I,iNeuron-I,Isaacs,0.076177111,0.191154691,0.119101694,0.460027108,NA,0.069911609,0.09410519,0.14122812,0.054204056,NA,0.047527174,0.039612947,0.054223887,0.881243023,1.280377785,NA,0.105542439,0.440893461,NA,0.347355896,7.249515585,13.22689529,0.458999749,0.807997454,0.224520953,0.523018346,0.545962806,0.25501497,4.115917167,NA,0.295432071,0.118255366,0.190743998,NA,0.089755638,NA,0.803493871,0.628627976,0.711220992,2.554085134,0.360231753,0.591313592,0.175856547,0.085901992,0.083405934,0.091128455,0.229206104,0.418516669,0.089222934,NA,0.085458801,NA,0.727715855,0.166831156,0.054574029,0.1500205,0.542143057,0.21172658,0.111870782,0.216236351,1.066561607,0.286648283,0.067829546,0.063902988,0.060364805,NA,1.237895845,5.546230743,0.813377363,6.649975888,56.21907365,24.06740009,3.765069072,1.140804784,0.129998333,2.005228351,2.709133239,3.10964858,12.15113552,6.53922376,0.568331199,1.348865705,1.290654817,0.647537627,1.645580367,1.049902162,1.649944703,0.935390609,1.341884976,0.1221691,0.24959317,1.929799328,NA,0.207605142,0.078655593,0.128256183,NA,0.235229621,NA,2.684720166,1.26268329,1.553492395,0.475624579,2.544024656,0.740373543,0.320859187,NA,0.122255956,0.110138214,0.458582358,0.239733503,0.380224512,0.336052289,NA,NA,NA,0.282374324,0.239593542,0.1987241,0.193090805,NA,NA,2.022189049,35.30290734,9.636519704,4.57723209,21.75339129,164.7322713,95.25872685,12.66510745,288.1408119,18.27489655,6.462341559,10.14565702,24.04757501,16.35361322,NA,7.886817132,47.75793373,NA,NA,22.66162576,2.499927382,NA,NA,5.473749005,6.952048131,35.98732394,5.650072997,NA,NA,NA,11.92215458,10.8463719,NA,NA,3.182346275,4.714554821,2.446670089,36.98646183,1.865584883,2.510052199,2.887153241,5.40149868,2.891714838,4.027244097,7.466633986,0.781116026,38.78424122,6.214079901,0.985993238,4.665666125,50.02613277,NA,3.793498999,25.08073816,4.332402358,1.863679892,4.244979951,14.67982273,NA,NA,3.144978831,NA,0.658658159,14.19685157,9.10645554,NA,18.64822232,3.680846536,3.28007658,5.335948685,36.17792944,2.497593008,16.36113136,10.26933417,7.255305938,5.124034207,2.111957682,NA,1.125983546,18.73277253,NA,2.908465421,53.94849219,14.27643926,15.29335124,2.765552296,1.046952977,2.174406519,32.58504323,NA,5.923917151,0.924794112,NA,2.556546316,1.493654576,NA,NA,0.383275233,NA,NA,2.215839393,NA,3.547635428,NA,1.702976182,NA,0.907392278,0.894053659,NA,3.504710234,87.66289763,43.0313244,1.510789108,NA,1.607220063,14.25016301,3.437531723,NA,0.25275905,2.336746673,11.49479857,NA,NA,3.397091841,2.843444973,0.04601193,11.15615639,2.202163682,NA,2.852189421,16.57266313,NA,NA,NA,4.237617404,NA,NA,NA,2.049214606,0.169736261,4.451863536,11.31579967,0.729841512,0.867929525,0.220431178,1.087313262,0.380738887,0.691878103,2.435465739,0.119071476,0.404369475,NA,0.100370615,0.023574068,NA,0.058210149,0.039574837,NA,0.142260835,0.026233141,0.304609369,0.031959382,0.11218356,0.273381355,0.148695548,NA,0.130556826,0.052290934,NA,0.056870584,0.176417586,0.083400317,0.024366614,NA,NA,NA,0.109609013,0.031183092,0.073252971,0.020607792,0.220762095,0.149305956,0.035414872,1.106044671,0.09137873,0.124204994,0.649821516,0.021525405,0.082035184,0.419486889,0.468643085,0.026818168,0.553868807,0.101587693,NA,NA,NA,0.062676235,0.215342627,0.141679245,0.080392371,NA,0.035415677,NA,0.022487887,0.034817346,0.08812292,0.051444625,0.023052014,0.043475573,0.060769162,0.06082235,NA,0.062818569,0.124543501,0.461475804,0.018642123,0.457579575,0.466549145,0.108189972,0.021686491,0.996623245,0.224510389,0.177216175,2.773207228,0.065056382,0.080972042,0.089292108,0.026335342,0.289332595,0.487393485,0.025655743,0.963752113,0.348246079,NA,0.095510449,0.094872874,NA,0.104122571,0.118355591,0.147453958,0.21157142,0.022954915,NA,0.069072268,0.02691637,0.027234,NA,NA,NA,NA,0.022008724,0.04412654,NA,0.032886768,0.012968406,0.084243228,NA,0.036419666,0.08227391,0.184556343,0.03205864,0.083779109,0.285137282,0.250676235,0.725310677,NA,0.428029269,0.072873119,0.284140382,0.145806439,0.105551824,1.616463207,0.094033616,0.138388213,0.394424228,0.081050756,0.138991625,0.136247796,0.039557604,0.448729896,0.204197761,NA,0.135922755,0.418450368,0.028065428,0.03950953,0.035868894,0.067920542,0.177296952,0.18397179,0.034118462,NA,0.134501022,0.106554811,0.03451391,NA,0.03038984,0.027546479,NA,0.041422395,0.038702475,NA,0.056623527,0.138878525,0.034327962,0.045522439,0.053783852,0.059727116,0.106632373,0.080358454,0.08255906,0.408116509,0.190637582,0.085110342,0.119346108,0.075028901,0.368804388,0.030872504,0.05804669,0.137105147,0.183274431,0.037787815,0.074114675,0.036395902,0.171503053,0.044676926,0.05513116,0.165961048,0.063095447,0.148536106,0.024943004,0.052699559,0.060056476,0.034308034,NA,0.082534384,0.064084753,0.05080486,0.087798209,0.025488103,0.026632515,0.02673673,0.028543142,0.030146594,0.145422314,0.027387016,0.057414827,0.027515878,0.056962257,0.111511073,0.035797075,0.033476644,NA,0.05612841,0.022787653,NA,0.025741904,NA,0.050043688,0.027990501,NA,NA,0.057604533,NA
WT,WT,iNeuron-I,iNeuron-I,Isaacs,0.059694676,0.221776611,0.10701909,0.468819345,NA,0.073805105,0.089745779,0.127299446,0.044070132,0.027856263,0.05064657,0.032385159,0.05223082,0.733102753,1.146243536,NA,NA,0.551076916,NA,0.378355045,7.157720936,12.31728435,0.419526044,0.753682462,0.194982401,0.549644897,0.487049753,0.259138891,4.251530968,NA,0.269803484,0.078429708,0.174722313,NA,NA,NA,0.775371496,0.688144722,0.739503328,2.265149861,0.356522815,0.833638687,0.185262422,0.094425386,0.093535456,0.097173484,0.20573657,0.391512879,0.072563182,NA,0.100248448,0.026315808,0.694200107,0.224198444,0.074748932,0.170691702,0.538357809,0.197007857,0.111381809,0.207270944,1.379199056,0.336806097,0.084712582,0.065512143,0.053195736,0.107907574,1.220693304,4.483746413,0.676790381,6.752792228,36.66563209,24.34456836,3.939686711,0.782030167,0.117849156,1.161205685,2.39544033,3.312093324,12.90142302,6.563066619,0.451553538,0.977550125,1.02033014,0.708054724,1.685086469,1.075451275,1.475216439,0.849382988,1.161740792,0.126448787,0.223054179,1.54668124,NA,0.147985488,0.091187032,0.077206004,NA,0.172485836,0.201636288,2.892670263,1.246228406,1.649489603,0.423648832,2.425565937,0.692194055,0.270270614,0.152775062,0.118187058,0.095705227,0.55482737,0.179694373,0.37421807,0.324374845,NA,NA,NA,0.390828512,0.193728729,0.225604998,0.236044387,NA,NA,1.595402711,32.84464925,8.362789691,5.044940422,20.64648397,162.0613602,101.4552238,13.8420453,281.4257773,18.11216409,8.338804655,9.136932105,17.76174984,15.79199044,NA,7.774428283,43.50697822,3.324174774,NA,20.35900903,2.236075104,NA,NA,4.781577508,5.241736452,35.14708173,6.464971342,NA,NA,NA,10.56732819,7.332094395,NA,1.277187142,3.275445862,4.436862829,2.800056695,36.6575073,1.583442481,2.359502841,2.781180676,5.402053593,3.386905784,4.1769124,8.188442584,0.54679237,41.23633508,4.866543482,1.245082194,3.858439487,60.86951982,NA,4.212396004,24.8884748,3.903542455,1.852286609,3.499064818,16.94064653,NA,0.507483896,3.925459576,NA,0.863777832,15.28957796,8.103745244,NA,18.7950682,2.913669718,2.49890463,4.259571752,39.42464476,2.001473039,20.5155596,10.82700944,7.081980599,5.771402367,1.561283487,NA,0.950150659,22.24721453,NA,3.33496332,53.86817825,13.29282035,15.72873592,2.803607201,1.407218448,2.554012227,38.13304748,NA,6.861259717,0.97832308,NA,1.905700781,1.384981304,0.246232696,NA,0.393250524,NA,1.173090364,1.800242203,1.178374386,3.087394395,NA,1.687430125,0.332495002,NA,1.254588408,NA,3.652789263,88.06874347,34.86719941,1.740041666,NA,1.872715693,14.7328104,3.671870983,1.046274633,NA,2.862464807,11.58793688,NA,NA,5.149405371,3.250178487,0.173950258,11.99203434,2.21072908,NA,2.121160463,16.55981302,NA,NA,NA,3.737601724,NA,NA,NA,NA,0.181349036,5.304447667,14.01097885,0.734707275,1.094422719,0.234857631,1.239565905,0.433631229,0.609086565,2.606431886,0.13252146,0.327465924,NA,0.098706356,NA,NA,0.049562991,0.033810154,NA,0.114530044,0.032641959,0.332107327,0.041102637,0.109226127,0.238661425,0.15522354,NA,0.157125196,0.061644598,0.028335695,0.062712388,0.184384806,0.065801177,NA,NA,NA,NA,0.138026214,NA,0.057777557,NA,0.23808635,0.164947339,0.041193886,1.031218941,0.127587385,0.107061311,0.720857667,NA,0.081524618,0.401638561,0.521564221,NA,0.601670286,0.091466008,NA,NA,NA,0.062351887,0.229261216,0.148972398,0.075119014,NA,NA,NA,NA,0.03593811,0.063152473,NA,NA,0.044645942,0.059496467,0.063385639,0.029037957,0.061425802,0.143089643,0.472555548,0.018855523,0.486140031,0.47448374,0.11321519,0.028266235,1.149500178,0.232021621,0.159045169,2.891585481,0.053368221,0.087256065,0.118006437,0.02650134,0.273837922,0.46630222,0.030009694,1.005739325,0.374201809,NA,0.081858487,0.082773759,NA,0.094914211,0.13676535,0.141575263,0.177507204,0.031243729,NA,0.087915882,0.02633072,NA,NA,0.028188812,NA,NA,NA,0.036167226,NA,0.039040564,NA,0.096766369,NA,0.040938729,0.077009233,0.166745784,NA,0.096658001,0.316859693,0.259472629,0.842789678,NA,0.480152369,0.084667181,0.291262175,0.133871251,0.10082293,1.644792593,0.095868551,0.158973123,0.386136446,0.089574062,0.14735835,0.137609772,0.045643489,0.470824699,0.201281708,NA,0.135660234,0.466995363,0.037681516,0.04477922,0.041836312,0.067161702,0.155440535,0.139300044,NA,NA,0.148399576,0.106918961,NA,NA,0.029184297,NA,NA,NA,0.037117251,0.029086826,0.073670766,0.157572287,0.037227687,0.048793915,0.052523417,0.039950931,0.097753778,0.086829462,0.107241243,0.398813504,0.222802059,0.113488666,0.157974862,0.078663413,0.348684209,0.030201092,0.057703581,0.16261801,0.194661235,0.037772286,0.075330534,0.038376952,0.194058274,0.057014211,0.04632296,0.231256463,0.078533222,0.170142564,0.037646383,0.041067774,0.06592278,0.033076307,NA,0.085520863,0.041810469,0.041095926,0.091794098,0.038054678,0.036724066,NA,NA,0.032872534,0.165154332,0.018385718,0.058799657,NA,0.075313901,0.109067406,0.038305401,0.040526974,NA,0.05092763,0.03388483,NA,0.035108026,NA,0.041937175,0.045072198,NA,NA,0.056326202,NA
